publish_data,tweet
1,data
2,"""For full functionality, it is necessary to enable JavaScript"
3,Here are instructions how to enable JavaScript in your web browser
4,"Welcome to Medical News TodayHealthline Media, Inc"
5,would like to process and share personal data (e
6,g
7,", mobile ad id) and data about your use of our site (e"
8,g
9,", content interests) with our third party partners (see a current list) using cookies and similar automatic collection tools in order to a) personalize content and/or offers on our site or other sites, b) communicate with you upon request, and/or c) for additional reasons upon notice and, when applicable, with your consent"
10,"Healthline Media, Inc"
11,is based in and operates this site from the United States
12,"Any data you provide will be primarily stored and processed in the United States, pursuant to the laws of the United States, which may provide lesser privacy protections than European Economic Area countries"
13,"By clicking “accept” below, you acknowledge and grant your consent for these activities unless and until you withdraw your consent using our rights request form"
14,Learn more in our Privacy Policy
15,"Top categoriesBlood / HematologyBones / OrthopedicsBreast CancerColorectal CancerDepressionGastroIntestinalHypertensionLymphomaMen's HealthNeurology / NeuroscienceNutrition / DietPain / AnestheticsProstate / Prostate CancerPsoriasisRespiratorySexual Health / STDsStrokeTuberculosisUrology / NephrologyWomen's HealthAll categoriesA - BC - DE - GH - LM - OP - RS - ZAll TopicsMoreSign up for our newsletterDiscover in-depth, condition specific articles written by our in-house team"
16,"NewsletterMNT - Hourly Medical News Since 2003SearchGoTop categoriesBlood / HematologyBones / OrthopedicsBreast CancerColorectal CancerDepressionGastroIntestinalHypertensionLymphomaMen's HealthNeurology / NeuroscienceNutrition / DietPain / AnestheticsProstate / Prostate CancerPsoriasisRespiratorySexual Health / STDsStrokeTuberculosisUrology / NephrologyWomen's HealthAll categoriesA - BC - DE - GH - LM - OP - RS - ZAll TopicsMoreSign up for our newsletterDiscover in-depth, condition specific articles written by our in-house team"
17,NewsletterMNT - Hourly Medical News Since 2003SearchGo Loading
18,"Please accept our privacy termsWe use cookies and similar technologies to improve your browsing experience, personalize content and offers, show targeted ads, analyze traffic, and better understand you"
19,We may share your information with third-party partners for marketing purposes
20,"To learn more and make choices about data use, visit our Advertising Policy and Privacy Policy"
21,"By clicking “Accept and Continue” below, (1) you consent to these activities unless and until you withdraw your consent using our rights request form, and (2) you consent to allow your data to be transferred, processed, and stored in the United States"
22,ACCEPT AND CONTINUE TO SITEDeny permissionScroll to AcceptGet the MNT newsletterEnter your email address to subscribe to our most top categoriesYour privacy is important to us
23,FINISHOK--> googleAdSlotInfo
24,"push({""""slotName"""":'DLB1',""""slotContainer"""":'dlb1_container'});Study reveals how much fiber we should eat to prevent disease  PublishedFriday 11 January 2019PublishedFri 11 Jan 2019By Ana Sandoiu Fact checked by Paula Field A new meta-analysis examines 40 years' worth of research in an attempt to find out the ideal amount of fiber that we should consume to prevent chronic disease and premature mortality"
25,Whole grain cereals and fruit are excellent sources of fiber
