disease,week,y
influenza,1,594
influenza,2,594
influenza,3,520
influenza,4,668
influenza,5,457
influenza,6,419
influenza,7,630
influenza,8,414
influenza,9,474
influenza,10,659
influenza,11,689
influenza,12,467
influenza,13,496
influenza,14,358
influenza,15,699
influenza,16,458
influenza,17,480
influenza,18,618
influenza,19,618
influenza,20,404
influenza,21,425
influenza,22,661
influenza,23,556
influenza,24,513
influenza,25,416
influenza,26,467
influenza,27,612
influenza,28,518
influenza,29,538
influenza,30,464
influenza,31,362
influenza,32,376
influenza,33,476
influenza,34,565
influenza,35,664
influenza,36,590
influenza,37,585
influenza,38,655
influenza,39,486
influenza,40,531
influenza,41,572
influenza,42,383
influenza,43,490
influenza,44,493
influenza,45,799
influenza,46,1431
influenza,47,1665
influenza,48,2312
influenza,49,2034
influenza,50,2983
influenza,51,1633
influenza,52,1821
